_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,fluency_assessment,reply,validation_log,abstr_da,abstr_utt,da,type,utt
920108511,3/29/2016 15:13:42,1940431035,3/29/2016 15:12:03,false,clixsense,1.0,30777913,GBR,U8,Edinburgh,80.193.171.244,"{""text"":""Yes, is later on.No more than 79 minutes."",""result"":""yes""}","Yes, is later on.No more than 79 minutes.",,"request(duration)&inform(alternative=""next"")",what about time requirements to find out the next connection,confirm: alternative=next; reply: duration=79 minutes,confirm-reply,what about time requirements to find out the next connection
920108512,3/29/2016 13:37:00,1940333841,3/29/2016 13:35:21,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.127.235,"{""text"":""not found by bus to inwood"",""result"":""yes""}",not found by bus to inwood,,"inform(to_stop=""*STREET"")&inform(vehicle=""*VEHICLE"")",ride on the *VEHICLE from delancey to *STOP,"*=notfound, to_stop=Inwood, vehicle=bus",apologize,ride on the bus from delancey to Inwood
920108513,3/29/2016 15:13:42,1940431031,3/29/2016 15:12:03,false,clixsense,1.0,30777913,GBR,U8,Edinburgh,80.193.171.244,"{""text"":""No more than 30 minutes."",""result"":""yes""}",No more than 30 minutes.,,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")",is there a connection in *NUMBER an hour,departure_time_rel=0:30,confirm,is there a connection in half an hour
920108514,3/29/2016 13:37:34,1940334655,3/29/2016 13:35:35,false,prodege,1.0,32850083,GBR,L9,Sheffield,92.239.198.197,"{""text"":""The next subway leaving Central Park to Times Square is line 6 at 9:02am"",""result"":""yes""}",The next subway leaving Central Park to Times Square is line 6 at 9:02am,,"inform(to_stop=""*STREET"")&inform(vehicle=""*VEHICLE"")",ride on the *VEHICLE from delancey to *STOP,"vehicle=subway, direction=Times Square, line=6, from_stop=Central Park, departure_time=9:02am",reply,ride on the subway from delancey to Times Square
920108515,3/29/2016 13:38:02,1940335348,3/29/2016 13:37:00,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.127.235,"{""text"":""it takes 74 minutes to world trade center"",""result"":""yes""}",it takes 74 minutes to world trade center,,"inform(to_stop=""*STOP"")&request(duration)",how long will it take to get to *STOP,confirm: to_stop=World Trade Center; reply: duration=74 minutes,confirm-reply,how long will it take to get to World Trade Center
920108516,3/29/2016 13:59:32,1940374588,3/29/2016 13:53:18,false,clixsense,1.0,21875134,GBR,"","",91.125.217.250,"{""text"":""I'm sorry, but I cound not find you a subway connection."",""result"":""yes""}","I'm sorry, but I cound not find you a subway connection.",,"inform(vehicle=""*VEHICLE"")",no i want a *VEHICLE option,"*=notfound, vehicle=subway",apologize,no i want a subway option
920108517,3/29/2016 13:32:42,1940328137,3/29/2016 13:29:51,false,prodege,1.0,32850083,GBR,L9,Sheffield,92.239.198.197,"{""text"":""Can I confirm you want to leave at 8:00pm by subway, and can I confirm where you are traveling from and to?"",""result"":""yes""}","Can I confirm you want to leave at 8:00pm by subway, and can I confirm where you are traveling from and to?",,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")",an alternative at *NUMBER *AMPM by *VEHICLE,"confirm: departure_time=8:00, ampm=pm, vehicle=subway; request: from_stop=?, to_stop=?",confirm-request,an alternative at eight pm by subway
920108518,3/29/2016 13:37:00,1940333837,3/29/2016 13:35:21,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.127.235,"{""text"":""at 9:00 pm evening from where to where"",""result"":""yes""}",at 9:00 pm evening from where to where,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",can i get a ride at *NUMBER *AMPM,"confirm: departure_time=9:00, ampm=pm; request: from_stop=?, to_stop=?",confirm-request,can i get a ride at nine pm
920108519,3/29/2016 13:35:34,1940331743,3/29/2016 13:34:27,false,prodege,1.0,32850083,GBR,L9,Sheffield,92.239.198.197,"{""text"":""I'm sorry there are no connections leaving from Dyckman Street"",""result"":""yes""}",I'm sorry there are no connections leaving from Dyckman Street,,"inform(from_stop=""*STREET"")",from *STOP t-,"*=notfound, from_stop=Dyckman Street",apologize,from Dyckman Street t-
920108520,3/29/2016 14:11:47,1940390078,3/29/2016 14:07:27,false,neodev,1.0,23597630,GBR,I9,Norwich,81.107.74.50,"{""text"":""You are looking for a connection in 30 minutes? From what location to where?"",""result"":""yes""}",You are looking for a connection in 30 minutes? From what location to where?,,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")",is there a connection in *NUMBER an hour,"confirm: departure_time_rel=0:30; request: from_stop=?, to_stop=?",confirm-request,is there a connection in half an hour
920108521,3/29/2016 13:56:43,1940369922,3/29/2016 13:54:26,false,elite,1.0,36350388,USA,FL,Fort Myers,76.1.161.45,"{""text"":""At 8:00 pm, from what station are you coming from and to what destination?"",""result"":""yes""}","At 8:00 pm, from what station are you coming from and to what destination?",,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",what if i leave at *NUMBER *AMPM,"confirm: departure_time=8:00, ampm=pm; request: from_stop=?, to_stop=?",confirm-request,what if i leave at eight pm
920108522,3/29/2016 13:37:00,1940333842,3/29/2016 13:35:21,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.127.235,"{""text"":""not found at 8:00 pm evening"",""result"":""yes""}",not found at 8:00 pm evening,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",is there a time i can leave at *NUMBER *AMPM,"*=notfound, departure_time=8:00, ampm=pm",apologize,is there a time i can leave at eight pm
920108523,3/29/2016 13:32:58,1940328512,3/29/2016 13:32:02,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.127.235,"{""text"":""it takes 10 minutes"",""result"":""yes""}",it takes 10 minutes,,"inform(departure_time_rel=""*TIME_REL"")",in *NUMBER minutes,departure_time_rel=0:10,confirm,in ten minutes
920108524,3/29/2016 13:38:02,1940335347,3/29/2016 13:37:00,false,zoombucks,1.0,4711962,CAN,ON,Markham,76.68.127.235,"{""text"":""not found to bowery"",""result"":""yes""}",not found to bowery,,"inform(to_stop=""*STOP"")",i want to get to *STOP,"*=notfound, to_stop=Bowery",apologize,i want to get to Bowery
920108525,3/29/2016 13:49:15,1940355436,3/29/2016 13:46:58,false,elite,1.0,36350388,USA,FL,Fort Myers,76.1.161.45,"{""text"":""I apologize I can not find a connection at 12:00 pm."",""result"":""yes""}",I apologize I can not find a connection at 12:00 pm.,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",is there *NUMBER at *NUMBER o'clock in the *AMPM,"*=notfound, departure_time=12:00, ampm=pm",apologize,is there twelve at twelve o'clock in the evening
920108526,3/29/2016 13:48:32,1940354114,3/29/2016 13:33:28,false,clixsense,1.0,21875134,GBR,"","",91.125.217.250,"{""text"":""OK, you wish to depart at 11:00 am, where do you want to go from and where do you want to go to?"",""result"":""yes""}","OK, you wish to depart at 11:00 am, where do you want to go from and where do you want to go to?",,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",is there a schedule for *NUMBER *AMPM,"confirm: departure_time=11:00, ampm=am; request: from_stop=?, to_stop=?",confirm-request,is there a schedule for eleven am
920108527,3/29/2016 15:13:42,1940431042,3/29/2016 15:12:03,false,clixsense,1.0,30777913,GBR,U8,Edinburgh,80.193.171.244,"{""text"":""Yes, from 11:00 am.But where to?Where would you like to go?"",""result"":""yes""}","Yes, from 11:00 am.But where to?Where would you like to go?",,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",is there an alternative at *NUMBER in the *AMPM,"confirm: departure_time=11:00, ampm=am; request: from_stop=?, to_stop=?",confirm-request,is there an alternative at eleven in the morning
