_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,fluency_assessment,reply,abstr_da,abstr_utt,da,type,utt
885131094,2/17/2016 18:13:13,1897166595,2/17/2016 18:11:27,false,clixsense,1.0,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""take subway line 1 from City Hall to Dyckman Street at 7:15am"",""result"":""yes""}",take subway line 1 from City Hall to Dyckman Street at 7:15am,"inform(from_stop=""*STREET"")",i want to go from *STOP to,"line=1, from_stop=City Hall, departure_time=7:15am, vehicle=subway, direction=Dyckman Street",reply,i want to go from City Hall to
885131094,2/17/2016 18:38:16,1897182994,2/17/2016 18:35:37,false,instagc,0.5,25501853,USA,KY,Winchester,104.2.39.114,"{""text"":""You want line 1 from City Hall at 7:15am by subway to Dyckman Street"",""result"":""yes""}",You want line 1 from City Hall at 7:15am by subway to Dyckman Street,"inform(from_stop=""*STREET"")",i want to go from *STOP to,"line=1, from_stop=City Hall, departure_time=7:15am, vehicle=subway, direction=Dyckman Street",reply,i want to go from City Hall to
885131094,2/17/2016 19:53:26,1897235148,2/17/2016 19:50:32,false,clixsense,0.3333,31738779,CAN,QC,Montréal,67.68.135.40,"{""text"":""From City Hall take the subway line 1 at 7:15am to get to Dyckman Street."",""result"":""yes""}",From City Hall take the subway line 1 at 7:15am to get to Dyckman Street.,"inform(from_stop=""*STREET"")",i want to go from *STOP to,"line=1, from_stop=City Hall, departure_time=7:15am, vehicle=subway, direction=Dyckman Street",reply,i want to go from City Hall to
885131095,2/17/2016 18:09:23,1897164082,2/17/2016 18:07:21,false,clixsense,1.0,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""Best connection is the bus M101 at 8:00pm from Broad Street to Cortlandt Street"",""result"":""yes""}",Best connection is the bus M101 at 8:00pm from Broad Street to Cortlandt Street,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",best connection at *NUMBER *AMPM,"from_stop=Broad Street, departure_time=8:00pm, vehicle=bus, direction=Cortlandt Street, line=M101",reply,best connection at eight pm
885131095,2/17/2016 18:35:36,1897181403,2/17/2016 18:33:13,false,instagc,0.5,25501853,USA,KY,Winchester,104.2.39.114,"{""text"":""The best connection at 8:00pm is the bus from Broad Street to Cortlandt Street on the M101 line"",""result"":""yes""}",The best connection at 8:00pm is the bus from Broad Street to Cortlandt Street on the M101 line,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",best connection at *NUMBER *AMPM,"from_stop=Broad Street, departure_time=8:00pm, vehicle=bus, direction=Cortlandt Street, line=M101",reply,best connection at eight pm
885131095,2/17/2016 19:21:22,1897212873,2/17/2016 19:17:41,false,neodev,0.4,31085823,USA,OH,Columbus,24.106.244.178,"{""text"":""The best connection is from Broad Street at 8:00pm direct to Cortlandt Street on bus line M101."",""result"":""yes""}",The best connection is from Broad Street at 8:00pm direct to Cortlandt Street on bus line M101.,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",best connection at *NUMBER *AMPM,"from_stop=Broad Street, departure_time=8:00pm, vehicle=bus, direction=Cortlandt Street, line=M101",reply,best connection at eight pm
885131096,2/17/2016 18:17:44,1897169286,2/17/2016 18:15:23,false,clixsense,1.0,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""take it from where to where, sir"",""result"":""yes""}","take it from where to where, sir","inform(vehicle=""*VEHICLE"")",i would like to take the *VEHICLE,"from_stop=?, to_stop=?",request,i would like to take the bus
885131096,2/17/2016 20:02:31,1897241747,2/17/2016 19:58:04,false,gifthunterclub,0.3333,36117325,USA,FL,Naples,216.177.204.121,"{""text"":""Do you  want to take the route from where site? to which place do you want to go ?"",""result"":""yes""}",Do you  want to take the route from where site? to which place do you want to go ?,"inform(vehicle=""*VEHICLE"")",i would like to take the *VEHICLE,"from_stop=?, to_stop=?",request,i would like to take the bus
885131096,2/17/2016 20:07:02,1897244752,2/17/2016 19:57:43,false,clixsense,0.3333,31738779,CAN,QC,Montréal,67.68.135.40,"{""text"":""From where do you want to go to?"",""result"":""yes""}",From where do you want to go to?,"inform(vehicle=""*VEHICLE"")",i would like to take the *VEHICLE,"from_stop=?, to_stop=?",request,i would like to take the bus
885131097,2/17/2016 18:11:26,1897165493,2/17/2016 18:09:24,false,clixsense,1.0,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""subways go to Wall Street every few mins"",""result"":""yes""}",subways go to Wall Street every few mins,"inform(to_stop=""*STREET"")&inform(time=""*TIME"")&inform(vehicle=""*VEHICLE"")",thank you i need to at *NUMBER oclock and on a *VEHICLE to *STOP,"to_stop=Wall Street, vehicle=subway",confirm,thank you i need to at *NUMBER oclock and on a subway to Wall Street
885131097,2/17/2016 19:50:50,1897233257,2/17/2016 19:46:24,false,inboxpounds,0.3333,36481861,GBR,K6,Portsmouth,87.83.36.50,"{""text"":""You want to get to Wall Street by subway"",""result"":""yes""}",You want to get to Wall Street by subway,"inform(to_stop=""*STREET"")&inform(time=""*TIME"")&inform(vehicle=""*VEHICLE"")",thank you i need to at *NUMBER oclock and on a *VEHICLE to *STOP,"to_stop=Wall Street, vehicle=subway",confirm,thank you i need to at *NUMBER oclock and on a subway to Wall Street
885131097,2/17/2016 19:57:42,1897238048,2/17/2016 19:53:27,false,clixsense,0.3333,31738779,CAN,QC,Montréal,67.68.135.40,"{""text"":""Ok so you want to go Wall Street by subway!"",""result"":""yes""}",Ok so you want to go Wall Street by subway!,"inform(to_stop=""*STREET"")&inform(time=""*TIME"")&inform(vehicle=""*VEHICLE"")",thank you i need to at *NUMBER oclock and on a *VEHICLE to *STOP,"to_stop=Wall Street, vehicle=subway",confirm,thank you i need to at *NUMBER oclock and on a subway to Wall Street
885131098,2/17/2016 18:11:26,1897165486,2/17/2016 18:09:24,false,clixsense,1.0,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""Yes, at 7:00 am from where to where"",""result"":""yes""}","Yes, at 7:00 am from where to where","inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",can i get information about a connection at *NUMBER *AMPM,"confirm: departure_time=7:00, ampm=am; request: from_stop=?, to_stop=?",confirm-request,can i get information about a connection at seven am
885131098,2/17/2016 19:50:50,1897233250,2/17/2016 19:46:24,false,inboxpounds,0.3333,36481861,GBR,K6,Portsmouth,87.83.36.50,"{""text"":""you want to know about a connection for 7:00 am but I do not know where you are coming from or where you are going to."",""result"":""yes""}",you want to know about a connection for 7:00 am but I do not know where you are coming from or where you are going to.,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",can i get information about a connection at *NUMBER *AMPM,"confirm: departure_time=7:00, ampm=am; request: from_stop=?, to_stop=?",confirm-request,can i get information about a connection at seven am
885131098,2/17/2016 19:57:42,1897238055,2/17/2016 19:53:27,false,clixsense,0.3333,31738779,CAN,QC,Montréal,67.68.135.40,"{""text"":""So from and to where do you want to go at 7:00 am?"",""result"":""yes""}",So from and to where do you want to go at 7:00 am?,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",can i get information about a connection at *NUMBER *AMPM,"confirm: departure_time=7:00, ampm=am; request: from_stop=?, to_stop=?",confirm-request,can i get information about a connection at seven am
885131099,2/17/2016 18:09:23,1897164081,2/17/2016 18:07:21,false,clixsense,1.0,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""You will reach the destination at 0:59pm"",""result"":""yes""}",You will reach the destination at 0:59pm,"request(arrival_time=""*ARRIVAL_TIME"")",-each the destination and what time will i be there,arrival_time=0:59pm,reply,-each the destination and what time will i be there
885131099,2/17/2016 18:35:36,1897181406,2/17/2016 18:33:13,false,instagc,0.5,25501853,USA,KY,Winchester,104.2.39.114,"{""text"":""It will arrive at 0:59pm"",""result"":""yes""}",It will arrive at 0:59pm,"request(arrival_time=""*ARRIVAL_TIME"")",-each the destination and what time will i be there,arrival_time=0:59pm,reply,-each the destination and what time will i be there
885131099,2/17/2016 19:21:22,1897212877,2/17/2016 19:17:41,false,neodev,0.4,31085823,USA,OH,Columbus,24.106.244.178,"{""text"":""You will reach your destination at 0:59pm"",""result"":""yes""}",You will reach your destination at 0:59pm,"request(arrival_time=""*ARRIVAL_TIME"")",-each the destination and what time will i be there,arrival_time=0:59pm,reply,-each the destination and what time will i be there
885131100,2/17/2016 18:17:44,1897169284,2/17/2016 18:15:23,false,clixsense,1.0,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""take the bus M10 from Lincoln Center to Canal Street at 8:09am"",""result"":""yes""}",take the bus M10 from Lincoln Center to Canal Street at 8:09am,"inform(to_stop=""*STREET"")",i would like to depart *STOP and go to *STOP,"line=M10, vehicle=bus, from_stop=Lincoln Center, direction=Canal Street, departure_time=8:09am",reply,i would like to depart *STOP and go to Canal Street
885131100,2/17/2016 20:02:31,1897241738,2/17/2016 19:58:04,false,gifthunterclub,0.3333,36117325,USA,FL,Naples,216.177.204.121,"{""text"":""Take the bus line M10 at 8:09am from Lincoln Center to dir Canal Street"",""result"":""yes""}",Take the bus line M10 at 8:09am from Lincoln Center to dir Canal Street,"inform(to_stop=""*STREET"")",i would like to depart *STOP and go to *STOP,"line=M10, vehicle=bus, from_stop=Lincoln Center, direction=Canal Street, departure_time=8:09am",reply,i would like to depart *STOP and go to Canal Street
885131100,2/17/2016 20:07:02,1897244754,2/17/2016 19:57:43,false,clixsense,0.3333,31738779,CAN,QC,Montréal,67.68.135.40,"{""text"":""To get there take the M10 bus at 8:09am from Lincoln Center direction Canal Street."",""result"":""yes""}",To get there take the M10 bus at 8:09am from Lincoln Center direction Canal Street.,"inform(to_stop=""*STREET"")",i would like to depart *STOP and go to *STOP,"line=M10, vehicle=bus, from_stop=Lincoln Center, direction=Canal Street, departure_time=8:09am",reply,i would like to depart *STOP and go to Canal Street
885131101,2/17/2016 18:09:23,1897164076,2/17/2016 18:07:21,false,clixsense,1.0,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""no subway was found, sir"",""result"":""yes""}","no subway was found, sir","inform(vehicle=""*VEHICLE"")",cancel the *VEHICLE,"*=notfound, vehicle=subway",apologize,cancel the subway
885131101,2/17/2016 18:35:36,1897181401,2/17/2016 18:33:13,false,instagc,0.5,25501853,USA,KY,Winchester,104.2.39.114,"{""text"":""That subway information was not found"",""result"":""yes""}",That subway information was not found,"inform(vehicle=""*VEHICLE"")",cancel the *VEHICLE,"*=notfound, vehicle=subway",apologize,cancel the subway
885131101,2/17/2016 19:21:22,1897212879,2/17/2016 19:17:41,false,neodev,0.4,31085823,USA,OH,Columbus,24.106.244.178,"{""text"":""I'm sorry I do not find subway."",""result"":""yes""}",I'm sorry I do not find subway.,"inform(vehicle=""*VEHICLE"")",cancel the *VEHICLE,"*=notfound, vehicle=subway",apologize,cancel the subway
885131102,2/17/2016 18:09:23,1897164085,2/17/2016 18:07:21,false,clixsense,1.0,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""It takes roughly 14 minutes"",""result"":""yes""}",It takes roughly 14 minutes,"inform(vehicle=""*VEHICLE"")&request(duration)",how long will it take to get there on the *VEHICLE,duration=14 minutes,reply,how long will it take to get there on the subway
885131102,2/17/2016 18:35:36,1897181405,2/17/2016 18:33:13,false,instagc,0.5,25501853,USA,KY,Winchester,104.2.39.114,"{""text"":""It will take 14 minutes"",""result"":""yes""}",It will take 14 minutes,"inform(vehicle=""*VEHICLE"")&request(duration)",how long will it take to get there on the *VEHICLE,duration=14 minutes,reply,how long will it take to get there on the subway
885131102,2/17/2016 19:21:22,1897212870,2/17/2016 19:17:41,false,neodev,0.4,31085823,USA,OH,Columbus,24.106.244.178,"{""text"":""It will take 14 minutes"",""result"":""yes""}",It will take 14 minutes,"inform(vehicle=""*VEHICLE"")&request(duration)",how long will it take to get there on the *VEHICLE,duration=14 minutes,reply,how long will it take to get there on the subway
885131103,2/17/2016 18:11:26,1897165496,2/17/2016 18:09:24,false,clixsense,1.0,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""Take subway line 7 at 3:17pm from Park Place to World Trade Center"",""result"":""yes""}",Take subway line 7 at 3:17pm from Park Place to World Trade Center,"inform(time=""*TIME"")",at *NUMBER pm,"departure_time=3:17pm, line=7, from_stop=Park Place, direction=World Trade Center, vehicle=subway",reply,at three pm
885131103,2/17/2016 19:50:50,1897233251,2/17/2016 19:46:24,false,inboxpounds,0.3333,36481861,GBR,K6,Portsmouth,87.83.36.50,"{""text"":""From Park Place to World Trade Center via subway line 7 at 3:17pm"",""result"":""yes""}",From Park Place to World Trade Center via subway line 7 at 3:17pm,"inform(time=""*TIME"")",at *NUMBER pm,"departure_time=3:17pm, line=7, from_stop=Park Place, direction=World Trade Center, vehicle=subway",reply,at three pm
885131103,2/17/2016 19:57:42,1897238057,2/17/2016 19:53:27,false,clixsense,0.3333,31738779,CAN,QC,Montréal,67.68.135.40,"{""text"":""At 3:17pm take the subway line 7 from Park Place direction World Trade Center."",""result"":""yes""}",At 3:17pm take the subway line 7 from Park Place direction World Trade Center.,"inform(time=""*TIME"")",at *NUMBER pm,"departure_time=3:17pm, line=7, from_stop=Park Place, direction=World Trade Center, vehicle=subway",reply,at three pm
