_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,fluency_assessment,reply,validation_log,abstr_da,abstr_utt,da,type,utt
899280517,3/3/2016 15:05:56,1912691153,3/3/2016 15:04:14,false,zoombucks,0.5979,4711962,CAN,ON,Markham,74.15.42.40,"{""text"":""take line M60 bus at 5:04pm from Delancey Street dir Columbia University"",""result"":""yes""}",take line M60 bus at 5:04pm from Delancey Street dir Columbia University,,"inform(vehicle=""*VEHICLE"")",but i want to go to by by *VEHICLE,"direction=Columbia University, from_stop=Delancey Street, line=M60, vehicle=bus, departure_time=5:04pm",reply,but i want to go to by by bus
899280517,3/3/2016 15:55:13,1912728713,3/3/2016 15:36:23,false,clixsense,0.6929,21875134,GBR,"","",146.90.159.160,"{""text"":""You can take bus M60 from Delancey Street at 5:04pm to Columbia University."",""result"":""yes""}",You can take bus M60 from Delancey Street at 5:04pm to Columbia University.,,"inform(vehicle=""*VEHICLE"")",but i want to go to by by *VEHICLE,"direction=Columbia University, from_stop=Delancey Street, line=M60, vehicle=bus, departure_time=5:04pm",reply,but i want to go to by by bus
899280517,3/3/2016 18:35:19,1912813058,3/3/2016 18:31:05,false,clixsense,0.4333,23585686,GBR,I9,Hockham,86.154.181.78,"{""text"":""You can get the bus from Delancey Street to Columbia University at 5:04pm on the M60 line."",""result"":""yes""}",You can get the bus from Delancey Street to Columbia University at 5:04pm on the M60 line.,"/// ""You can get the bus from Delancey Street to Columbia University at 5.04pm on the M60 line."" --- Your reply is missing the following information: 5:04pm","inform(vehicle=""*VEHICLE"")",but i want to go to by by *VEHICLE,"direction=Columbia University, from_stop=Delancey Street, line=M60, vehicle=bus, departure_time=5:04pm",reply,but i want to go to by by bus
899280518,3/3/2016 15:15:02,1912695329,3/3/2016 15:13:25,false,zoombucks,0.5979,4711962,CAN,ON,Markham,74.15.42.40,"{""text"":""not found from World Trade Center to next or later or after"",""result"":""yes""}",not found from World Trade Center to next or later or after,,"inform(from_stop=""*STOP"")&inform(alternative=""next"")",yes i would like to know when i could catch the next transportation from *STOP,"*=notfound, from_stop=World Trade Center, alternative=next",apologize,yes i would like to know when i could catch the next transportation from World Trade Center
899280518,3/3/2016 19:24:10,1912871554,3/3/2016 19:21:03,false,elite,0.7138,36350388,USA,FL,Lehigh Acres,76.1.167.13,"{""text"":""I'm sorry I can not find a connection from World Trade Center at later time."",""result"":""yes""}",I'm sorry I can not find a connection from World Trade Center at later time.,,"inform(from_stop=""*STOP"")&inform(alternative=""next"")",yes i would like to know when i could catch the next transportation from *STOP,"*=notfound, from_stop=World Trade Center, alternative=next",apologize,yes i would like to know when i could catch the next transportation from World Trade Center
899280518,3/3/2016 19:32:08,1912875494,3/3/2016 19:25:48,false,instagc,0.5167,20407931,USA,NC,Asheville,71.81.216.225,"{""text"":""I'm sorry, but I'm unable to find any information on the next transport from the World Trade Center. It's not found on my computer."",""result"":""yes""}","I'm sorry, but I'm unable to find any information on the next transport from the World Trade Center. It's not found on my computer.","/// ""I'm sorry, but I'm unable to find any transport from the World Trade Center. "" --- Your reply is missing the following information: notfound, next /// ""I'm sorry, but I'm unable to find any information on the next transport from the World Trade Center. "" --- Your reply is missing the following information: notfound /// ""I'm sorry, but I'm unable to find any information on the next transport from the World Trade Center. It's notfound on my computer."" --- Your reply is missing the following information: notfound","inform(from_stop=""*STOP"")&inform(alternative=""next"")",yes i would like to know when i could catch the next transportation from *STOP,"*=notfound, from_stop=World Trade Center, alternative=next",apologize,yes i would like to know when i could catch the next transportation from World Trade Center
899280519,3/3/2016 15:26:09,1912702830,3/3/2016 15:24:50,false,zoombucks,0.5979,4711962,CAN,ON,Markham,74.15.42.40,"{""text"":""not found from Columbia University to Marble Hill"",""result"":""yes""}",not found from Columbia University to Marble Hill,,"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")",from *STOP to *STOP,"*=notfound, from_stop=Columbia University, to_stop=Marble Hill",apologize,from Columbia University to Marble Hill
899280519,3/3/2016 19:36:05,1912877632,3/3/2016 19:34:12,false,instagc,0.5167,20407931,USA,NC,Asheville,71.81.216.225,"{""text"":""I'm sorry, I can not find a route from Columbia University to Marble Hill."",""result"":""yes""}","I'm sorry, I can not find a route from Columbia University to Marble Hill.","/// ""I'm sorry, I cannot find a route from Columbia University to Marble Hill."" --- Your reply is missing the following information: notfound","inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")",from *STOP to *STOP,"*=notfound, from_stop=Columbia University, to_stop=Marble Hill",apologize,from Columbia University to Marble Hill
899280519,3/3/2016 19:46:51,1912884538,3/3/2016 19:35:19,false,neodev,0.5762,23017572,USA,CA,Los Angeles,67.215.241.22,"{""text"":""sorry sir, but i can not found anything about from Columbia University to Marble Hill"",""result"":""yes""}","sorry sir, but i can not found anything about from Columbia University to Marble Hill",,"inform(from_stop=""*STREET"")&inform(to_stop=""*STOP"")",from *STOP to *STOP,"*=notfound, from_stop=Columbia University, to_stop=Marble Hill",apologize,from Columbia University to Marble Hill
899280520,3/3/2016 15:27:47,1912704302,3/3/2016 15:26:10,false,zoombucks,0.5979,4711962,CAN,ON,Markham,74.15.42.40,"{""text"":""from where to Fulton Street"",""result"":""yes""}",from where to Fulton Street,,"inform(to_stop=""*STOP"")",change my destination to *STOP,to_stop=Fulton Street,confirm,change my destination to Fulton Street
