_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,fluency_assessment,reply,validation_log,abstr_da,abstr_utt,da,type,utt
901558930,3/8/2016 18:10:01,1916815718,3/8/2016 18:09:06,false,elite,0.5533,32799278,GBR,V2,Glasgow,81.136.58.12,"{""text"":""from Grand Street bus to Cortlandt Street in line M5 at 0:12pm"",""result"":""yes""}",from Grand Street bus to Cortlandt Street in line M5 at 0:12pm,"/// ""from "" --- Your reply is missing the following information: M5, bus, Grand Street, Cortlandt Street, 0:12pm /// ""from Grand Street"" --- Your reply is missing the following information: M5, bus, Cortlandt Street, 0:12pm /// ""from Grand Street "" --- Your reply is missing the following information: M5, bus, Cortlandt Street, 0:12pm /// ""from Grand Street bus"" --- Your reply is missing the following information: M5, Cortlandt Street, 0:12pm /// ""from Grand Street bus to "" --- Your reply is missing the following information: M5, Cortlandt Street, 0:12pm /// ""from Grand Street bus to Cortlandt Street"" --- Your reply is missing the following information: M5, 0:12pm /// ""from Grand Street bus to Cortlandt Street in line "" --- Your reply is missing the following information: M5, 0:12pm /// ""from Grand Street bus to Cortlandt Street in line M5"" --- Your reply is missing the following information: 0:12pm /// ""from Grand Street bus to Cortlandt Street in line M5 at "" --- Your reply is missing the following information: 0:12pm","inform(time=""*TIME"")&inform(ampm=""*AMPM"")",is there *NUMBER at *NUMBER o'clock in the *AMPM,"line=M5, vehicle=bus, from_stop=Grand Street, direction=Cortlandt Street, departure_time=0:12pm",reply,is there zero at zero o'clock in the afternoon
901558930,3/8/2016 18:15:23,1916820951,3/8/2016 18:14:09,false,zoombucks,0.4056,4711962,CAN,ON,Markham,174.88.28.236,"{""text"":""take line M5 bus at 0:12pm from grand street dir cortlandt street"",""result"":""yes""}",take line M5 bus at 0:12pm from grand street dir cortlandt street,"/// ""take line M5 bus at 0.12pm from grand street dir cortlandt street"" --- Your reply is missing the following information: 0:12pm","inform(time=""*TIME"")&inform(ampm=""*AMPM"")",is there *NUMBER at *NUMBER o'clock in the *AMPM,"line=M5, vehicle=bus, from_stop=Grand Street, direction=Cortlandt Street, departure_time=0:12pm",reply,is there zero at zero o'clock in the afternoon
901558930,3/8/2016 18:57:08,1916860973,3/8/2016 18:55:30,false,elite,0.5048,36350388,USA,FL,Cape Coral,76.1.164.167,"{""text"":""At 0:12pm by bus line M5 from Grand Street to Cortlandt Street."",""result"":""yes""}",At 0:12pm by bus line M5 from Grand Street to Cortlandt Street.,,"inform(time=""*TIME"")&inform(ampm=""*AMPM"")",is there *NUMBER at *NUMBER o'clock in the *AMPM,"line=M5, vehicle=bus, from_stop=Grand Street, direction=Cortlandt Street, departure_time=0:12pm",reply,is there zero at zero o'clock in the afternoon
901558932,3/8/2016 19:15:53,1916881390,3/8/2016 19:14:51,false,clixsense,1.0,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""to where exactly"",""result"":""yes""}",to where exactly,,"inform(from_stop=""*STREET"")",i need to find a connection from *STOP queen,to_stop=?,request,i need to find a connection from Bowery queen
901558932,3/8/2016 21:23:06,1917038638,3/8/2016 21:21:02,false,elite,0.5048,36350388,USA,FL,Cape Coral,76.1.164.167,"{""text"":""To what direction?"",""result"":""yes""}",To what direction?,,"inform(from_stop=""*STREET"")",i need to find a connection from *STOP queen,to_stop=?,request,i need to find a connection from Bowery queen
901558936,3/8/2016 19:15:53,1916881399,3/8/2016 19:14:51,false,clixsense,1.0,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""take bus line M4 at 12:18pm from Houston Street to Broad Street"",""result"":""yes""}",take bus line M4 at 12:18pm from Houston Street to Broad Street,"/// ""take bus line "" --- Your reply is missing the following information: 12:18pm, Broad Street, M4, Houston Street /// ""take bus line M4"" --- Your reply is missing the following information: 12:18pm, Broad Street, Houston Street /// ""take bus line M4 at "" --- Your reply is missing the following information: 12:18pm, Broad Street, Houston Street /// ""take bus line M4 at 12:18pm"" --- Your reply is missing the following information: Broad Street, Houston Street /// ""take bus line M4 at 12:18pm from"" --- Your reply is missing the following information: Broad Street, Houston Street /// ""take bus line M4 at 12:18pm frHouston Streetom"" --- Your reply is missing the following information: Broad Street /// ""take bus line M4 at 12:18pm frHouston Street to om"" --- Your reply is missing the following information: Broad Street /// ""take bus line M4 at 12:18pm frHouston Street to Broad Streetom"" --- Your reply is too short. Use full, fluent sentences.","inform(from_stop=""*STOP"")",yes i would like to go from *STOP to gra-,"departure_time=12:18pm, vehicle=bus, direction=Broad Street, line=M4, from_stop=Houston Street",reply,yes i would like to go from Houston Street to gra-
901558936,3/8/2016 21:23:06,1917038632,3/8/2016 21:21:02,false,elite,0.5048,36350388,USA,FL,Cape Coral,76.1.164.167,"{""text"":""At 12:18pm by bus line M4 from Houston Street to Broad Street."",""result"":""yes""}",At 12:18pm by bus line M4 from Houston Street to Broad Street.,,"inform(from_stop=""*STOP"")",yes i would like to go from *STOP to gra-,"departure_time=12:18pm, vehicle=bus, direction=Broad Street, line=M4, from_stop=Houston Street",reply,yes i would like to go from Houston Street to gra-
901558938,3/8/2016 17:28:55,1916771646,3/8/2016 17:26:19,false,elite,0.5048,36350388,USA,FL,Cape Coral,76.1.164.167,"{""text"":""Next connection."",""result"":""yes""}",Next connection.,,"inform(alternative=""next"")",is there a later time,alternative=next,confirm,is there a later time
901558938,3/8/2016 18:14:14,1916819710,3/8/2016 18:13:10,false,elite,0.5533,32799278,GBR,V2,Glasgow,81.136.58.12,"{""text"":""next time it will be later"",""result"":""yes""}",next time it will be later,,"inform(alternative=""next"")",is there a later time,alternative=next,confirm,is there a later time
901558938,3/8/2016 18:18:46,1916825208,3/8/2016 18:16:44,false,zoombucks,0.4056,4711962,CAN,ON,Markham,174.88.28.236,"{""text"":""to next or later or after"",""result"":""yes""}",to next or later or after,,"inform(alternative=""next"")",is there a later time,alternative=next,confirm,is there a later time
