42		null()
1		silence()
1	there a *NUMBER o'clock schedule	inform(departure_time="*DEPARTURE_TIME")&inform(task="find_connection")
1	how about *STOP to *STREET	inform(to_street="*STREET")&inform(from_stop="*STOP")
1	what about a connection at *NUMBER *AMPM	inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(task="find_connection")
1	what about a connection by *VEHICLE	inform(vehicle="*VEHICLE")&inform(task="find_connection")
1	what about from *STREET to *STREET	inform(from_street="*STREET")&inform(to_street="*STREET")
1	what about later options	inform(alternative="next")
1	what about	null()
1	what about *NUMBER in the *AMPM	inform(time="*TIME")&inform(ampm="*AMPM")
1	what about *STOP to *STREET	inform(to_street="*STREET")&inform(from_stop="*STOP")
1	what about *STREET	inform(street="*STREET")
1	what about the connection at *NUMBER o'clock in the *AMPM i prefer to take the *VEHICLE	inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
1	what about the next ride	inform(alternative="next")
1	okay 	ack()
1	ok	ack()
1	okay	ack()
1	right	ack()
3	yes 	affirm()
1	sure	affirm()
5	yeah	affirm()
130	yes	affirm()
2	correct	affirm()&ack()
1	i already told you you fucking moron	null()
1	an alternative at *NUMBER *AMPM by *VEHICLE	inform(time="*TIME")&inform(ampm="*AMPM")&inform(vehicle="*VEHICLE")
1	i am at *STOP and i'm going to *STOP	inform(from_stop="*STOP")&inform(to_stop="*STOP")
1	i am def-	null()
1	i am departing from *STREET and want to get to *STREET	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(task="find_connection")
1	i am going to *STOP	inform(to_stop="*STOP")
1	i am headed from *STOP to *STREET and i was wondering how long the ride would be	inform(to_street="*STREET")&inform(from_stop="*STOP")&request(distance)
1	i am in *STOP and i want to go to *STREET	inform(to_street="*STREET")&inform(from_stop="*STOP")&inform(task="find_connection")
1	i am leaving from *STREET and heading towards *STREET	inform(from_street="*STREET")&inform(from_street2="*STREET")
1	i am looking for a connection leaving from dyck-	inform(task="find_connection")
1	i am looking for an itinerary	inform(task="find_connection")
1	i am looking for an itinerary please my departure stop is *STOP and i am heading to *STREET	inform(to_street="*STREET")&inform(stop="*STOP")&inform(task="find_connection")
1	i am looking for a transit schedule from *STREET headed to *STOP	inform(from_street="*STREET")&inform(to_stop="*STOP")&inform(task="find_connection")
1	i am not sure	affirm()&negate()
1	i am starting from *STREET and heading towards *STREET	inform(from_street="*STREET")&inform(from_street2="*STREET")
1	i am traveling from *STOP to *STREET	inform(to_street="*STREET")&inform(from_stop="*STOP")
1	i am traveling to *STOP	inform(to_stop="*STOP")
1	i am traveling to *STREET	inform(to_street="*STREET")
1	i am travelling from *STOP and my destination is *STOP	inform(from_stop="*STOP")&inform(to_stop="*STOP")
1	i am travelling from *STREET and	inform(from_street="*STREET")
1	i am travelling from *STREET and i want to get to *STREET	inform(from_street="*STREET")&inform(to_street="*STREET")&inform(task="find_connection")
3	*NUMBER *AMPM	inform(time="*TIME")&inform(ampm="*AMPM")
1	*NUMBER *AMPM in the *AMPM from *STREET to *STOP by *VEHICLE	inform(from_street="*STREET")&inform(to_stop="*STOP")&inform(time="*TIME")&inform(ampm="*AMPM")&inform(ampm="*AMPM")&inform(vehicle="*VEHICLE")
1	*NUMBER *AMPM schedule by *VEHICLE	inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(vehicle="*VEHICLE")&inform(task="find_connection")
1	*NUMBER *AMPM schedule	inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(task="find_connection")
1	*STREET and head towards *STOP	inform(street="*STREET")&inform(stop="*STOP")
1	yes and how long will it take to get there	affirm()&request(duration)
1	and arrive at the *STREET	inform(street="*STREET")
1	i'm asking for public transport and i want to go from *STREET to *STOP	inform(from_street="*STREET")&inform(to_stop="*STOP")&inform(task="find_connection")
1	alternative at *NUMBER *AMPM	inform(time="*TIME")&inform(ampm="*AMPM")
1	arrive at *STOP	inform(stop="*STOP")
1	i'm at *STOP i'm going to *STOP	inform(from_stop="*STOP")&inform(to_stop="*STOP")
1	i'm at *STOP	inform(from_stop="*STOP")
1	option at a later time	inform(alternative="next")
1	schedule at *NUMBER in the *AMPM	inform(departure_time="*DEPARTURE_TIME")&inform(ampm="*AMPM")&inform(task="find_connection")
1	street at *NUMBER o'clock *AMPM	inform(time="*TIME")&inform(ampm="*AMPM")
3	port authority	null()
1	port authority to *STREET	inform(to_street="*STREET")
2	go back	null()
1	yes be at the *VEHICLE	inform(vehicle="*VEHICLE")&affirm()
1	the *BOROUGH 	inform(borough="*BOROUGH")
1	how bout the next ride	inform(alternative="next")
1	connection by *VEHICLE	inform(vehicle="*VEHICLE")&inform(task="find_connection")
1	travel by *VEHICLE	inform(vehicle="*VEHICLE")
2	bye	bye()
9	goodbye	bye()
1	ok can i go to *STOP	inform(to_stop="*STOP")&ack()
1	okay can i get another ride	reqalts()&ack()&inform(alternative="next")
1	um can i change from	null()
1	i can't understand you	ack()
1	i'm changing go to *STOP	inform(to_stop="*STOP")
1	-sas city *STATE	inform(state="*STATE")
1	*BOROUGH *CITY	inform(borough="*BOROUGH")&inform(city="*CITY")
1	*CITY *CITY	inform(from_city="*CITY")&inform(to_city="*CITY")
2	from *CITY	inform(from_city="*CITY")
