_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,fluency_assessment,reply,abstr_da,abstr_utt,da,type,utt
884799962,2/17/2016 17:49:03,1897152094,2/17/2016 17:47:02,false,instagc,1.0,20312760,GBR,I2,Manchester,2.99.252.22,"{""text"":""Take subway line 1 from the city hall at 7:15am to Dyckman Street"",""result"":""yes""}",Take subway line 1 from the city hall at 7:15am to Dyckman Street,"inform(from_stop=""*STREET"")",i want to go from *STOP to,"line=1, from_stop=City Hall, departure_time=7:15am, vehicle=subway, direction=Dyckman Street",reply,i want to go from City Hall to
884799962,2/17/2016 18:01:58,1897159845,2/17/2016 17:58:49,false,clixsense,0.5,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""Please take subway 1 from City Hall to Dyckman Street at 7:15am"",""result"":""yes""}",Please take subway 1 from City Hall to Dyckman Street at 7:15am,"inform(from_stop=""*STREET"")",i want to go from *STOP to,"line=1, from_stop=City Hall, departure_time=7:15am, vehicle=subway, direction=Dyckman Street",reply,i want to go from City Hall to
884799962,2/17/2016 19:21:45,1897213191,2/17/2016 19:01:51,false,bitcoinget,0.3333,28503763,USA,CA,San Francisco,107.217.187.33,"{""text"":""the next subway train line 1 from city hall to dyckman street will arrive at 7:15am."",""result"":""yes""}",the next subway train line 1 from city hall to dyckman street will arrive at 7:15am.,"inform(from_stop=""*STREET"")",i want to go from *STOP to,"line=1, from_stop=City Hall, departure_time=7:15am, vehicle=subway, direction=Dyckman Street",reply,i want to go from City Hall to
884799963,2/17/2016 17:52:48,1897154470,2/17/2016 17:51:15,false,instagc,1.0,20312760,GBR,I2,Manchester,2.99.252.22,"{""text"":""Leave Broad street at 8:00pm by bus on the m101 to cortlandt street"",""result"":""yes""}",Leave Broad street at 8:00pm by bus on the m101 to cortlandt street,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",best connection at *NUMBER *AMPM,"from_stop=Broad Street, departure_time=8:00pm, vehicle=bus, direction=Cortlandt Street, line=M101",reply,best connection at eight pm
884799963,2/17/2016 18:05:55,1897162066,2/17/2016 18:04:15,false,clixsense,0.5,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""Best connection is a bus at 8:00pm line M101 from Broad Street to Cortlandt Street"",""result"":""yes""}",Best connection is a bus at 8:00pm line M101 from Broad Street to Cortlandt Street,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",best connection at *NUMBER *AMPM,"from_stop=Broad Street, departure_time=8:00pm, vehicle=bus, direction=Cortlandt Street, line=M101",reply,best connection at eight pm
884799963,2/17/2016 19:14:48,1897208652,2/17/2016 19:08:33,false,gifthunterclub,0.3333,36117325,USA,FL,Naples,216.177.204.121,"{""text"":""The best bus connection from Broad Street  to dir Cortlandt Street line M101 alt 8:00pm"",""result"":""yes""}",The best bus connection from Broad Street  to dir Cortlandt Street line M101 alt 8:00pm,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",best connection at *NUMBER *AMPM,"from_stop=Broad Street, departure_time=8:00pm, vehicle=bus, direction=Cortlandt Street, line=M101",reply,best connection at eight pm
884799964,2/17/2016 17:47:01,1897150802,2/17/2016 17:43:37,false,instagc,1.0,20312760,GBR,I2,Manchester,2.99.252.22,"{""text"":""Where are you taking the bus from, and to? "",""result"":""yes""}","Where are you taking the bus from, and to?","inform(vehicle=""*VEHICLE"")",i would like to take the *VEHICLE,"from_stop=?, to_stop=?",request,i would like to take the bus
884799964,2/17/2016 17:58:48,1897157881,2/17/2016 17:54:10,false,clixsense,0.5,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""From where to where, sir"",""result"":""yes""}","From where to where, sir","inform(vehicle=""*VEHICLE"")",i would like to take the *VEHICLE,"from_stop=?, to_stop=?",request,i would like to take the bus
884799964,2/17/2016 18:32:52,1897179740,2/17/2016 18:24:55,false,instagc,0.3333,25501853,USA,KY,Winchester,104.2.39.114,"{""text"":""Where would you like to take the bus from and to"",""result"":""yes""}",Where would you like to take the bus from and to,"inform(vehicle=""*VEHICLE"")",i would like to take the *VEHICLE,"from_stop=?, to_stop=?",request,i would like to take the bus
884799965,2/17/2016 17:51:14,1897153536,2/17/2016 17:49:05,false,instagc,1.0,20312760,GBR,I2,Manchester,2.99.252.22,"{""text"":""You want to go to wall street by subway"",""result"":""yes""}",You want to go to wall street by subway,"inform(to_stop=""*STREET"")&inform(time=""*TIME"")&inform(vehicle=""*VEHICLE"")",thank you i need to at *NUMBER oclock and on a *VEHICLE to *STOP,"to_stop=Wall Street, vehicle=subway",confirm,thank you i need to at *NUMBER oclock and on a subway to Wall Street
884799965,2/17/2016 18:04:14,1897161153,2/17/2016 18:01:59,false,clixsense,0.5,21665495,CAN,QC,Montréal,24.105.69.70,"{""text"":""The subway to Wall Street leaves every hoiur"",""result"":""yes""}",The subway to Wall Street leaves every hoiur,"inform(to_stop=""*STREET"")&inform(time=""*TIME"")&inform(vehicle=""*VEHICLE"")",thank you i need to at *NUMBER oclock and on a *VEHICLE to *STOP,"to_stop=Wall Street, vehicle=subway",confirm,thank you i need to at *NUMBER oclock and on a subway to Wall Street
884799965,2/17/2016 19:33:07,1897220973,2/17/2016 19:14:50,false,gifthunterclub,0.3333,36117325,USA,FL,Naples,216.177.204.121,"{""text"":""You need to at 5:00oclock on a subway to Wall Street"",""result"":""yes""}",You need to at 5:00oclock on a subway to Wall Street,"inform(to_stop=""*STREET"")&inform(time=""*TIME"")&inform(vehicle=""*VEHICLE"")",thank you i need to at *NUMBER oclock and on a *VEHICLE to *STOP,"to_stop=Wall Street, vehicle=subway",confirm,thank you i need to at *NUMBER oclock and on a subway to Wall Street
884799966,2/17/2016 02:20:35,1896193551,2/17/2016 02:15:03,false,neodev,1.0,12219174,CAN,BC,Surrey,108.180.63.196,"{""text"":""Where do you want to go to at 7:00 am"",""result"":""yes""}","At 7:00 am, where do you want to start your trip and where do you want to go?","inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",can i get information about a connection at *NUMBER *AMPM,"confirm: departure_time=7:00, ampm=am; request: from_stop=?, to_stop=?",confirm-request,can i get information about a connection at seven am
884799966,2/17/2016 03:14:07,1896259751,2/17/2016 03:07:12,false,clixsense,0.5,30777913,GBR,U8,Edinburgh,80.193.171.244,"{""text"":""Where you would like to go? And yes, we have a connections at 7:00 am."",""result"":""yes""}","Where you would like to go? And yes, we have a connections at 7:00 am.","inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",can i get information about a connection at *NUMBER *AMPM,"confirm: departure_time=7:00, ampm=am; request: from_stop=?, to_stop=?",confirm-request,can i get information about a connection at seven am
884799966,2/17/2016 04:21:14,1896339842,2/17/2016 04:14:51,false,neodev,0.3333,35584800,CAN,AB,Edmonton,174.3.224.48,"{""text"":""So, as I understand you are interested in buses at 7:00 am, but please tell me from where to which destination you are traveling to?"",""result"":""yes""}","So, as I understand you are interested in buses at 7:00 am, but please tell me from where to which destination you are traveling to?","inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",can i get information about a connection at *NUMBER *AMPM,"confirm: departure_time=7:00, ampm=am; request: from_stop=?, to_stop=?",confirm-request,can i get information about a connection at seven am
884799967,2/17/2016 17:52:48,1897154459,2/17/2016 17:51:15,false,instagc,1.0,20312760,GBR,I2,Manchester,2.99.252.22,"{""text"":""Arrival is at 0:59pm"",""result"":""yes""}",Arrival is at 0:59pm,"request(arrival_time=""*ARRIVAL_TIME"")",-each the destination and what time will i be there,arrival_time=0:59pm,reply,-each the destination and what time will i be there
