_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,fluency_assessment,reply,validation_log,abstr_da,abstr_utt,da,type,utt
914178313,3/22/2016 14:01:10,1931467131,3/22/2016 13:53:29,false,clixsense,0.86,21875134,GBR,"","",91.125.217.250,"{""text"":""It leaves at 7:48pm."",""result"":""yes""}",It leaves at 7:48pm.,,"request(departure_time=""*DEPARTURE_TIME"")",when does it leave,departure_time=7:48pm,reply,when does it leave
914178313,3/22/2016 14:10:23,1931470955,3/22/2016 13:58:25,false,neodev,0.6,23597630,GBR,I9,Norwich,81.107.74.50,"{""text"":""It leaves at 7:48pm."",""result"":""yes""}",It leaves at 7:48pm.,,"request(departure_time=""*DEPARTURE_TIME"")",when does it leave,departure_time=7:48pm,reply,when does it leave
914178314,3/22/2016 13:53:28,1931463486,3/22/2016 13:45:27,false,clixsense,0.86,21875134,GBR,"","",91.125.217.250,"{""text"":""OK, you want a connection in 30 minutes."",""result"":""yes""}","OK, you want a connection in 30 minutes.",,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")",is there a connection in *NUMBER an hour,departure_time_rel=0:30,confirm,is there a connection in half an hour
914178314,3/22/2016 14:29:22,1931479270,3/22/2016 14:13:14,false,gifthunterclub,0.75,34737109,USA,CA,Los Angeles,38.95.108.250,"{""text"":""I understan that you want to know if exist a connection and that its about 30 minutes "",""result"":""yes""}",I understan that you want to know if exist a connection and that its about 30 minutes,,"inform(departure_time_rel=""*DEPARTURE_TIME_REL"")",is there a connection in *NUMBER an hour,departure_time_rel=0:30,confirm,is there a connection in half an hour
914178315,3/22/2016 13:37:37,1931456766,3/22/2016 13:35:27,false,prodege,0.85,14848125,GBR,U8,Edinburgh,86.147.170.29,"{""text"":""You need to travel at 8:00 am"",""result"":""yes""}",You need to travel at 8:00 am,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",i need a ride at *NUMBER *AMPM,"departure_time=8:00, ampm=am",confirm,i need a ride at eight am
914178315,3/22/2016 13:37:57,1931456921,3/22/2016 13:36:31,false,clixsense,0.875,30777913,GBR,U8,Edinburgh,80.193.171.244,"{""text"":""Yes, from 8:00 am."",""result"":""yes""}","Yes, from 8:00 am.",,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")",i need a ride at *NUMBER *AMPM,"departure_time=8:00, ampm=am",confirm,i need a ride at eight am
914178316,3/22/2016 13:31:32,1931454375,3/22/2016 13:29:23,false,prodege,0.9,32850083,GBR,L9,Sheffield,92.239.198.197,"{""text"":""I'm sorry there no is method of transport available from Houston Street"",""result"":""yes""}",I'm sorry there no is method of transport available from Houston Street,,"inform(from_stop=""*STREET"")",from *STOP,"*=notfound, from_stop=Houston Street",apologize,from Houston Street
914178316,3/22/2016 14:06:36,1931469444,3/22/2016 14:01:11,false,clixsense,0.86,21875134,GBR,"","",91.125.217.250,"{""text"":""I'm sorry, but I was not able to find you a connection from Houston Street."",""result"":""yes""}","I'm sorry, but I was not able to find you a connection from Houston Street.",,"inform(from_stop=""*STREET"")",from *STOP,"*=notfound, from_stop=Houston Street",apologize,from Houston Street
914178317,3/22/2016 13:32:52,1931454889,3/22/2016 13:31:33,false,prodege,0.9,32850083,GBR,L9,Sheffield,92.239.198.197,"{""text"":""I'm sorry I there are no routes currently going by subway"",""result"":""yes""}",I'm sorry I there are no routes currently going by subway,,"inform(vehicle=""*VEHICLE"")",i'd rather use the *VEHICLE,"*=notfound, vehicle=subway",apologize,i'd rather use the subway
914178317,3/22/2016 13:35:26,1931455926,3/22/2016 13:34:06,false,prodege,0.85,14848125,GBR,U8,Edinburgh,86.147.170.29,"{""text"":""I am sorry I cannot find a subway connection"",""result"":""yes""}",I am sorry I cannot find a subway connection,,"inform(vehicle=""*VEHICLE"")",i'd rather use the *VEHICLE,"*=notfound, vehicle=subway",apologize,i'd rather use the subway
914178318,3/22/2016 14:53:33,1931490221,3/22/2016 14:50:07,false,prodege,0.8,16844474,CAN,ON,Toronto,174.118.242.70,"{""text"":""You wish an evening number."",""result"":""yes""}",You wish an evening number.,,"inform(ampm=""*AMPM"")",no is there an option at *NUMBER *AMPM,ampm=pm,confirm,no is there an option at *NUMBER pm
914178318,3/22/2016 15:02:46,1931494575,3/22/2016 14:51:18,false,gifthunterclub,0.75,34737109,USA,CA,Los Angeles,38.95.108.250,"{""text"":""i undertand that you want to know a option ar evening "",""result"":""yes""}",i undertand that you want to know a option at evening,,"inform(ampm=""*AMPM"")",no is there an option at *NUMBER *AMPM,ampm=pm,confirm,no is there an option at *NUMBER pm
914178319,3/22/2016 13:37:37,1931456761,3/22/2016 13:35:27,false,prodege,0.85,14848125,GBR,U8,Edinburgh,86.147.170.29,"{""text"":""you wish a later bus than 7:00 am"",""result"":""yes""}",you wish a later bus than 7:00 am,,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")&inform(alternative=""next"")",is there another alternative for *NUMBER o'clock in the *AMPM by taking the *VEHICLE,"departure_time=7:00, ampm=am, vehicle=bus, alternative=next",confirm,is there another alternative for seven o'clock in the morning by taking the bus
914178319,3/22/2016 13:37:57,1931456919,3/22/2016 13:36:31,false,clixsense,0.875,30777913,GBR,U8,Edinburgh,80.193.171.244,"{""text"":""Yes, from 7:00 am with a bus later on."",""result"":""yes""}","Yes, from 7:00 am with a bus later on.",,"inform(departure_time=""*TIME"")&inform(ampm=""*AMPM"")&inform(vehicle=""*VEHICLE"")&inform(alternative=""next"")",is there another alternative for *NUMBER o'clock in the *AMPM by taking the *VEHICLE,"departure_time=7:00, ampm=am, vehicle=bus, alternative=next",confirm,is there another alternative for seven o'clock in the morning by taking the bus
