_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,fluency_assessment,reply,abstr_da,abstr_utt,da,type,utt
884797824,2/17/2016 00:51:08,1896053118,2/17/2016 00:47:41,false,clixsense,1.0,30777913,GBR,U8,Edinburgh,80.193.171.244,"{""text"":""On subway, bus 1 going from City Hall to direction of Dyckman Street from 7:15am."",""result"":""yes""}","On subway, bus 1 going from City Hall to direction of Dyckman Street from 7:15am.","inform(from_stop=""*STREET"")",i want to go from *STOP to,"line=1, from_stop=City Hall, departure_time=7:15am, vehicle=subway, direction=Dyckman Street",reply,i want to go from City Hall to
884797824,2/17/2016 01:42:34,1896130171,2/17/2016 01:39:22,false,instagc,0.55,34070076,USA,LA,Prairieville,209.124.205.4,"{""text"":""City Hall on line 1 subway to dyckman street at 7:15am"",""result"":""yes""}",City Hall on line 1 subway to dyckman street at 7:15am,"inform(from_stop=""*STREET"")",i want to go from *STOP to,"line=1, from_stop=City Hall, departure_time=7:15am, vehicle=subway, direction=Dyckman Street",reply,i want to go from City Hall to
884797824,2/17/2016 03:48:28,1896302080,2/17/2016 03:41:49,false,bitcoinget,0.4667,36400974,CAN,ON,Toronto,174.95.46.178,"{""text"":""Travel from City Hall on the subway at 7:15am using line 1 along Dyckman Street. "",""result"":""yes""}",Travel from City Hall on the subway at 7:15am using line 1 along Dyckman Street.,"inform(from_stop=""*STREET"")",i want to go from *STOP to,"line=1, from_stop=City Hall, departure_time=7:15am, vehicle=subway, direction=Dyckman Street",reply,i want to go from City Hall to
884797825,2/17/2016 01:09:15,1896075661,2/17/2016 01:04:51,false,clixsense,1.0,30777913,GBR,U8,Edinburgh,80.193.171.244,"{""text"":""The best possible connection is the bus M101, going from Broad Street to direction of Cortlandt Street at 8:00pm."",""result"":""yes""}","The best possible connection is the bus M101, going from Broad Street to direction of Cortlandt Street at 8:00pm.","inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",best connection at *NUMBER *AMPM,"from_stop=Broad Street, departure_time=8:00pm, vehicle=bus, direction=Cortlandt Street, line=M101",reply,best connection at eight pm
884797825,2/17/2016 01:55:20,1896152291,2/17/2016 01:50:37,false,instagc,0.55,34070076,USA,LA,Prairieville,209.124.205.4,,Broad Street to Cortlandt Street on bus M101 at 8:00pm,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",best connection at *NUMBER *AMPM,"from_stop=Broad Street, departure_time=8:00pm, vehicle=bus, direction=Cortlandt Street, line=M101",reply,best connection at eight pm
884797825,2/17/2016 02:01:33,1896163753,2/17/2016 01:54:11,false,tremorgames,0.3889,34591155,AUS,04,Brisbane,220.233.45.188,"{""text"":""The best connection is from Broad Street to Cortlandt Street on bus line M101 at 8:00pm"",""result"":""yes""}",The best connection is from Broad Street to Cortlandt Street on bus line M101 at 8:00pm.,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",best connection at *NUMBER *AMPM,"from_stop=Broad Street, departure_time=8:00pm, vehicle=bus, direction=Cortlandt Street, line=M101",reply,best connection at eight pm
884797826,2/17/2016 01:09:15,1896075660,2/17/2016 01:04:51,false,clixsense,1.0,30777913,GBR,U8,Edinburgh,80.193.171.244,,Take a bus from where? And where to?,"inform(vehicle=""*VEHICLE"")",i would like to take the *VEHICLE,"from_stop=?, to_stop=?",request,i would like to take the bus
884797826,2/17/2016 01:55:20,1896152289,2/17/2016 01:50:37,false,instagc,0.55,34070076,USA,LA,Prairieville,209.124.205.4,,from where to where?,"inform(vehicle=""*VEHICLE"")",i would like to take the *VEHICLE,"from_stop=?, to_stop=?",request,i would like to take the bus
884797826,2/17/2016 02:01:33,1896163751,2/17/2016 01:54:11,false,tremorgames,0.3889,34591155,AUS,04,Brisbane,220.233.45.188,"{""text"":""From where and stopping where?"",""result"":""yes""}",From where and stopping where?,"inform(vehicle=""*VEHICLE"")",i would like to take the *VEHICLE,"from_stop=?, to_stop=?",request,i would like to take the bus
884797828,2/17/2016 01:00:48,1896064168,2/17/2016 00:56:52,false,clixsense,1.0,30777913,GBR,U8,Edinburgh,80.193.171.244,,"From our subway, going to Wall Street.","inform(to_stop=""*STREET"")&inform(time=""*TIME"")&inform(vehicle=""*VEHICLE"")",thank you i need to at *NUMBER oclock and on a *VEHICLE to *STOP,"to_stop=Wall Street, vehicle=subway",confirm,thank you i need to at *NUMBER oclock and on a subway to Wall Street
884797828,2/17/2016 01:48:07,1896139838,2/17/2016 01:42:56,false,prodege,0.4667,36249024,CAN,ON,North York,99.225.188.40,,Take the subway to Wall Street.,"inform(to_stop=""*STREET"")&inform(time=""*TIME"")&inform(vehicle=""*VEHICLE"")",thank you i need to at *NUMBER oclock and on a *VEHICLE to *STOP,"to_stop=Wall Street, vehicle=subway",confirm,thank you i need to at *NUMBER oclock and on a subway to Wall Street
884797828,2/17/2016 01:50:36,1896144252,2/17/2016 01:45:25,false,instagc,0.55,34070076,USA,LA,Prairieville,209.124.205.4,,subway to Wall Street.,"inform(to_stop=""*STREET"")&inform(time=""*TIME"")&inform(vehicle=""*VEHICLE"")",thank you i need to at *NUMBER oclock and on a *VEHICLE to *STOP,"to_stop=Wall Street, vehicle=subway",confirm,thank you i need to at *NUMBER oclock and on a subway to Wall Street
884797829,2/17/2016 00:56:52,1896059213,2/17/2016 00:51:10,false,clixsense,1.0,30777913,GBR,U8,Edinburgh,80.193.171.244,"{""text"":""Where you would like to go?Which destination to go from 7:00 am."",""result"":""yes""}",Where you would like to go?Which destination to go from 7:00 am.,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",can i get information about a connection at *NUMBER *AMPM,"confirm: departure_time=7:00, ampm=am; request: from_stop=?, to_stop=?",confirm-request,can i get information about a connection at seven am
884797829,2/17/2016 01:45:24,1896135031,2/17/2016 01:42:35,false,instagc,0.55,34070076,USA,LA,Prairieville,209.124.205.4,"{""text"":""Confirm connection at 7:00 am, but from where to where?"",""result"":""yes""}","Confirm connection at 7:00 am, but from where to where?","inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",can i get information about a connection at *NUMBER *AMPM,"confirm: departure_time=7:00, ampm=am; request: from_stop=?, to_stop=?",confirm-request,can i get information about a connection at seven am
884797829,2/17/2016 01:54:10,1896150154,2/17/2016 01:40:55,false,tremorgames,0.3889,34591155,AUS,04,Brisbane,220.233.45.188,"{""text"":""So you'd like to depart at 7:00 am At which stops are you departing from and stopping at?"",""result"":""yes""}",So you'd like to depart at 7:00 am At which stops are you departing from and stopping at?,"inform(departure_time=""*DEPARTURE_TIME"")&inform(ampm=""*AMPM"")",can i get information about a connection at *NUMBER *AMPM,"confirm: departure_time=7:00, ampm=am; request: from_stop=?, to_stop=?",confirm-request,can i get information about a connection at seven am
884797830,2/17/2016 01:04:50,1896069130,2/17/2016 01:00:49,false,clixsense,1.0,30777913,GBR,U8,Edinburgh,80.193.171.244,"{""text"":""You will be there exactly at 0:59pm."",""result"":""yes""}",You will be there exactly at 0:59pm.,"request(arrival_time=""*ARRIVAL_TIME"")",-each the destination and what time will i be there,arrival_time=0:59pm,reply,-each the destination and what time will i be there
884797830,2/17/2016 02:41:41,1896220919,2/17/2016 02:34:39,false,tremorgames,0.3889,34591155,AUS,04,Brisbane,220.233.45.188,"{""text"":""You will get there at 0:59pm."",""result"":""yes""}",You will get there at 0:59pm.,"request(arrival_time=""*ARRIVAL_TIME"")",-each the destination and what time will i be there,arrival_time=0:59pm,reply,-each the destination and what time will i be there
884797830,2/17/2016 05:07:31,1896411942,2/17/2016 05:04:43,false,clixsense,1.0,31738779,CAN,QC,Montréal,67.68.135.40,"{""text"":""I'll arrive in Montreal at 0:59pm"",""result"":""yes""}",I'll arrive in Montreal at 0:59pm,"request(arrival_time=""*ARRIVAL_TIME"")",-each the destination and what time will i be there,arrival_time=0:59pm,reply,-each the destination and what time will i be there
884797831,2/17/2016 00:56:52,1896059214,2/17/2016 00:51:10,false,clixsense,1.0,30777913,GBR,U8,Edinburgh,80.193.171.244,"{""text"":""Yes, the bus M10 going from Lincoln Center to direction of Canal Street from 8:09am."",""result"":""yes""}","Yes, the bus M10 going from Lincoln Center to direction of Canal Street from 8:09am.","inform(to_stop=""*STREET"")",i would like to depart *STOP and go to *STOP,"line=M10, vehicle=bus, from_stop=Lincoln Center, direction=Canal Street, departure_time=8:09am",reply,i would like to depart *STOP and go to Canal Street
884797831,2/17/2016 01:45:24,1896135026,2/17/2016 01:42:35,false,instagc,0.55,34070076,USA,LA,Prairieville,209.124.205.4,"{""text"":""From Lincoln Center take M10 bus to Canal Street at 8:09am."",""result"":""yes""}",From Lincoln Center take M10 bus to Canal Street at 8:09am.,"inform(to_stop=""*STREET"")",i would like to depart *STOP and go to *STOP,"line=M10, vehicle=bus, from_stop=Lincoln Center, direction=Canal Street, departure_time=8:09am",reply,i would like to depart *STOP and go to Canal Street
884797831,2/17/2016 01:54:10,1896150151,2/17/2016 01:40:55,false,tremorgames,0.3889,34591155,AUS,04,Brisbane,220.233.45.188,"{""text"":""Hop in, Canal street is on this bus line. My bus line, M10, goes from Lincoln Center to your destination starting at 8:09am."",""result"":""yes""}","Hop in, Canal street is on this bus line. My bus line, M10, goes from Lincoln Center to your destination starting at 8:09am.","inform(to_stop=""*STREET"")",i would like to depart *STOP and go to *STOP,"line=M10, vehicle=bus, from_stop=Lincoln Center, direction=Canal Street, departure_time=8:09am",reply,i would like to depart *STOP and go to Canal Street
884797832,2/17/2016 01:09:15,1896075664,2/17/2016 01:04:51,false,clixsense,1.0,30777913,GBR,U8,Edinburgh,80.193.171.244,,Our subway has no such a info and not found.,"inform(vehicle=""*VEHICLE"")",cancel the *VEHICLE,"*=notfound, vehicle=subway",apologize,cancel the subway
884797832,2/17/2016 01:55:20,1896152290,2/17/2016 01:50:37,false,instagc,0.55,34070076,USA,LA,Prairieville,209.124.205.4,,"sorry, not found for subway.","inform(vehicle=""*VEHICLE"")",cancel the *VEHICLE,"*=notfound, vehicle=subway",apologize,cancel the subway
884797832,2/17/2016 02:01:33,1896163749,2/17/2016 01:54:11,false,tremorgames,0.3889,34591155,AUS,04,Brisbane,220.233.45.188,"{""text"":""Sorry I don't know and can not find information about the subwaysystem."",""result"":""yes""}",Sorry I don't know and can not find information about the subway system.,"inform(vehicle=""*VEHICLE"")",cancel the *VEHICLE,"*=notfound, vehicle=subway",apologize,cancel the subway
884797833,2/17/2016 00:51:08,1896053113,2/17/2016 00:47:41,false,clixsense,1.0,30777913,GBR,U8,Edinburgh,80.193.171.244,"{""text"":""No more than 14 minutes."",""result"":""yes""}",No more than 14 minutes.,"inform(vehicle=""*VEHICLE"")&request(duration)",how long will it take to get there on the *VEHICLE,duration=14 minutes,reply,how long will it take to get there on the subway
884797833,2/17/2016 01:42:34,1896130168,2/17/2016 01:39:22,false,instagc,0.55,34070076,USA,LA,Prairieville,209.124.205.4,,It will take 14 minutes by subway.,"inform(vehicle=""*VEHICLE"")&request(duration)",how long will it take to get there on the *VEHICLE,duration=14 minutes,reply,how long will it take to get there on the subway
884797833,2/17/2016 03:48:28,1896302079,2/17/2016 03:41:49,false,bitcoinget,0.4667,36400974,CAN,ON,Toronto,174.95.46.178,"{""text"":""It will take 14 minutes. "",""result"":""yes""}",It will take 14 minutes.,"inform(vehicle=""*VEHICLE"")&request(duration)",how long will it take to get there on the *VEHICLE,duration=14 minutes,reply,how long will it take to get there on the subway
884797834,2/17/2016 01:00:48,1896064167,2/17/2016 00:56:52,false,clixsense,1.0,30777913,GBR,U8,Edinburgh,80.193.171.244,"{""text"":""Where you would like to go from 3:17pm from Park Place to direction of World Trade Center, subway 7?"",""result"":""yes""}","Where you would like to go from 3:17pm from Park Place to direction of World Trade Center, subway 7?","inform(time=""*TIME"")",at *NUMBER pm,"departure_time=3:17pm, line=7, from_stop=Park Place, direction=World Trade Center, vehicle=subway",reply,at three pm
884797834,2/17/2016 01:48:07,1896139837,2/17/2016 01:42:56,false,prodege,0.4667,36249024,CAN,ON,North York,99.225.188.40,"{""text"":""You can take the subway on line 7 from Park Place to the World Trade Center at 3:17pm."",""result"":""yes""}",You can take the subway on line 7 from Park Place to the World Trade Center at 3:17pm.,"inform(time=""*TIME"")",at *NUMBER pm,"departure_time=3:17pm, line=7, from_stop=Park Place, direction=World Trade Center, vehicle=subway",reply,at three pm
884797834,2/17/2016 01:50:36,1896144254,2/17/2016 01:45:25,false,instagc,0.55,34070076,USA,LA,Prairieville,209.124.205.4,"{""text"":""Park Place to world trade center on line 7 subway at 3:17pm"",""result"":""yes""}",Park Place to world trade center on line 7 subway at 3:17pm,"inform(time=""*TIME"")",at *NUMBER pm,"departure_time=3:17pm, line=7, from_stop=Park Place, direction=World Trade Center, vehicle=subway",reply,at three pm
884797835,2/17/2016 00:56:52,1896059212,2/17/2016 00:51:10,false,clixsense,1.0,30777913,GBR,U8,Edinburgh,80.193.171.244,"{""text"":""No more than 77 minutes,Sir."",""result"":""yes""}","No more than 77 minutes,Sir.","inform(to_stop=""*STREET"")&request(duration)",i'm saying i want to go to *STOP and i know i want to know how long it will take,duration=77 minutes,reply,i'm saying i want to go to Herald Square and i know i want to know how long it will take
884797835,2/17/2016 01:45:24,1896135035,2/17/2016 01:42:35,false,instagc,0.55,34070076,USA,LA,Prairieville,209.124.205.4,"{""text"":""it will take 77 minutes."",""result"":""yes""}",it will take 77 minutes.,"inform(to_stop=""*STREET"")&request(duration)",i'm saying i want to go to *STOP and i know i want to know how long it will take,duration=77 minutes,reply,i'm saying i want to go to Herald Square and i know i want to know how long it will take
884797835,2/17/2016 01:54:10,1896150150,2/17/2016 01:40:55,false,tremorgames,0.3889,34591155,AUS,04,Brisbane,220.233.45.188,"{""text"":""It will take 77 minutes to get there."",""result"":""yes""}",It will take 77 minutes to get there.,"inform(to_stop=""*STREET"")&request(duration)",i'm saying i want to go to *STOP and i know i want to know how long it will take,duration=77 minutes,reply,i'm saying i want to go to Herald Square and i know i want to know how long it will take
