> SYSTEM :	hello() 	Hello, this is Alex, information about public transportation. The call is recorded. How may I help You?
> SYSTEM :	silence() 	
> USER :	inform(from_stop="Manhattan")&inform(to_stop="Central Park") 	i would like to get from the manhattan to the central park
> SYSTEM :	silence() 	
> SYSTEM :	iconfirm(to_stop="Central Park")&iconfirm(from_stop="Manhattan")&inform(found_directions="true")&inform(alternative="1")&inform(walk_to="FINAL_DEST") 	Alright, from manhattan to central park. I have found the following connection. The first possibility. Walk to the destination.
> SYSTEM :	silence() 	
> USER :	request(duration) 	how long does it take
> SYSTEM :	inform(duration="0:20") 	It takes about twenty minutes.
> SYSTEM :	silence() 	
> USER :	other() 	can you give me the second option
> SYSTEM :	notunderstood()&silence() 	I could not understand.
> USER :	other() 	the second option
> SYSTEM :	notunderstood()&help(inform="alternative_abs") 	I couldn't understand. You can ask me to repeat particular connection, for instance say, the first connection, or say the second option.
> USER :	??? 	the second option


> SYSTEM :	hello() 	Hello, this is Alex, information about public transportation. The call is recorded. How may I help You?
> SYSTEM :	silence() 	
> USER :	inform(from_stop="68 St")&inform(to_city="Hunter")&inform(vehicle="bus") 	find bus connection from sixty eighth street to hunter college
> SYSTEM :	silence() 	
> SYSTEM :	apology()&inform(from_city="New York")&inform(from_stop="68 St")&inform(to_city="Hunter")&inform(vehicle="bus") 	I'm sorry, connection from sixty eighth street at New York to Hunter by bus was not found.
> USER :	inform(task="weather")&inform(in_state="California")&inform(in_city="Lancaster") 	weather forecast and time in lancaster california
> SYSTEM :	silence() 	
> SYSTEM :	silence() 	
> SYSTEM :	iconfirm(in_city="Lancaster")&iconfirm(in_state="California")&inform(time_rel="now")&inform(temperature="1")&inform(weather_condition="scattered clouds") 	In Lancaster, California, It is one degrees and scattered clouds.
> SYSTEM :	silence() 	
> USER :	thankyou()&bye() 	thank you goodbye
> SYSTEM :	say(text="Your code is 1 3 4 3 . I repeat. Your code is 1 3 4 3 . I repeat. Your code is 1 3 4 3 . I repeat. Your code is 1 3 4 3 .") bye() 	Your code is 1 3 4 3 . I repeat. Your code is 1 3 4 3 . I repeat. Your code is 1 3 4 3 . I repeat. Your code is 1 3 4 3 . Thank you for calling. Good bye.


> SYSTEM :	hello() 	Hello, this is Alex, information about public transportation. The call is recorded. How may I help You?
> USER :	other() 	i want to find a bus connection from sixty eighth street hunter college to times square forty
> USER :	other() 	twenty three and the next connection and the forecast in lancaster
> SYSTEM :	notunderstood()&help(inform="departure_time") 	I could not understand. You can say, what time You want to go, for example.
> SYSTEM :	notunderstood()&help(inform="hangup") 	I could not understand. If You want to end the call, say goodbye for instance.
> SYSTEM :	silence() 	
> USER :	inform(="Tony") 	time requirement for a bus connection
> SYSTEM :	silence() 	
> SYSTEM :	request(from_city) 	What city do you want to departure?
> USER :	other() 	lancaster california
> SYSTEM :	silence() 	
> SYSTEM :	notunderstood()&help(inform="from_stop") 	I could not understand. For instance You can say, I would like to go from Wall Street.
> USER :	inform(from_city="Hunt")&inform(to_city="Hunter") 	_NOISE_
> USER :	other() 	_NOISE_
> SYSTEM :	apology()&inform(from_city="Hunt")&inform(to_city="Hunter") 	I'm sorry, I could not find any connection from Hunt to Hunter.
> SYSTEM :	notunderstood()&help(inform="from_stop") 	Sorry, I didn't catch You. For example You can say, from Wall Street.
> SYSTEM :	silence() 	
> USER :	other() 	thank you goodbye
> SYSTEM :	notunderstood()&help(inform="from_stop") 	I did not understand. Could you repeat that? For example You can say, from Wall Street.
> USER :	other() 	_NOISE_
> SYSTEM :	notunderstood()&help(inform="from_stop") 	I could not hear You. Can You repeat that? For example You can say, from Central Park.
> USER :	other() 	_NOISE_
> SYSTEM :	silence() 	
> SYSTEM :	notunderstood()&help(inform="from_stop") 	I'm sorry, I did not catch you. Could you repeat that? For instance You can say, I would like to go from Central Park.
> USER :	other() 	_NOISE_
> SYSTEM :	notunderstood()&help(inform="departure_time") 	I'm sorry, I couldn't hear You. You can say, what time You want to go, for example.
> USER :	other() 	_NOISE_
> SYSTEM :	notunderstood()&help(task="weather") 	Sorry, I didn't catch You. You can ask what is the weather like.
> USER :	other() 	_NOISE_
> SYSTEM :	notunderstood()&help(inform="hangup") 	I did not understand. Could you repeat that? If You want to end the call, say goodbye for instance.
> USER :	other() 	goodbye
> USER :	other() 	_NOISE_
> SYSTEM :	notunderstood()&help(request="help") 	I did not understand. You can ask for help.
> SYSTEM :	notunderstood()&help(request="help") 	I did not understand. Could you repeat that? If you do not know how to talk to me or what to say, ask for help.
> USER :	other() 	goodbye
> SYSTEM :	notunderstood()&help(repeat) 	I couldn't understand. If You could not understand me, You can ask me to repeat the last sentence.
> SYSTEM :	silence() 	
> SYSTEM :	silence() 	
> SYSTEM :	silence() 	
> SYSTEM :	inform(silence_timeout="true") 	Hallo, do We hear each other?
> USER :	other() 	goodbye
> SYSTEM :	notunderstood()&help(inform="departure_time") 	Sorry, I didn't catch You. You can say, what time You want to go, for example.
> USER :	other() 	goodbye
> SYSTEM :	notunderstood()&help(inform="from_stop") 	I could not understand. For example You can say, from Central Park.
> USER :	bye() 	_NOISE_
> SYSTEM :	silence() 	
